nombre,kms,mins,delay,timestamp,direccion_origen,origen_lat,origen_lon,direccion_destino,destino_lat,destino_lon
A1,36.72,33.1,0.4166666666666667,2020-01-08T18:19:03+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.019,14.4,2.0166666666666666,2020-01-08T18:19:04+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,27.016666666666666,0.5333333333333333,2020-01-08T18:19:05+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.9,1.15,2020-01-08T18:19:06+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,32.7,0.0,2020-01-08T18:20:03+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.019,13.5,0.0,2020-01-08T18:20:04+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,26.5,0.0,2020-01-08T18:20:05+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.4,0.2833333333333333,2020-01-08T18:20:07+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,36.72,32.7,0.0,2020-01-08T18:21:19+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,7.019,14.383333333333333,2.0166666666666666,2020-01-08T18:21:20+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,26.45,0.0,2020-01-08T18:21:21+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.192,20.85,1.25,2020-01-08T18:21:22+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.833333333333332,0.0,2020-01-09T10:26:35+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,8.966666666666667,0.0,2020-01-09T10:26:36+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.95,0.0,2020-01-09T10:26:37+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.8,0.0,2020-01-09T10:26:39+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.566666666666666,0.0,2020-01-09T11:07:19+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.016666666666667,0.0,2020-01-09T11:07:20+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.7,0.0,2020-01-09T11:07:22+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:07:23+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.566666666666666,0.0,2020-01-09T11:11:53+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.033333333333333,0.0,2020-01-09T11:11:55+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.683333333333334,0.0,2020-01-09T11:11:56+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:11:57+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.533333333333335,0.0,2020-01-09T11:18:19+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.05,0.0,2020-01-09T11:18:22+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.683333333333334,0.0,2020-01-09T11:18:23+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:18:25+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
A1,32.823,30.516666666666666,0.0,2020-01-09T11:20:31+01:00,Alcala de henares Madrid,40.48166,-3.36414,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
B1,6.996,9.05,0.0,2020-01-09T11:20:33+01:00,"Calle de Anabel Segura, 14, 28108 Alcobendas, Madrid",40.53333,-3.62777,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
C1,25.564,24.666666666666668,0.0,2020-01-09T11:20:35+01:00,"Calle de Maqueda, 86, 28024 Madrid",40.39019,-3.76376,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
D1,25.177,17.783333333333335,0.0,2020-01-09T11:20:37+01:00,San agustin del guadalix Madrid,40.67867,-3.61586,"Calle Puerto de Somport, 9, Edificio Oxxeo, 28050 Madrid",40.49601,-3.67182
